Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2024-01-02 00:00:00-05:00,247.67999267578125,252.53500366210935,243.25,244.7700042724609,272800,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-03 00:00:00-05:00,240.82000732421875,241.5500030517578,230.9199981689453,231.69000244140625,498800,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-04 00:00:00-05:00,231.3999938964844,232.9499969482422,227.57000732421875,231.19000244140625,812600,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-05 00:00:00-05:00,228.4499969482422,234.6300048828125,225.8500061035156,231.80999755859372,282000,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-08 00:00:00-05:00,233.77999877929688,249.28500366210935,231.88999938964844,247.32000732421875,370800,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-09 00:00:00-05:00,244.42999267578125,252.75999450683597,242.52999877929688,245.0800018310547,363300,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-10 00:00:00-05:00,246.1300048828125,251.9600067138672,244.8600006103516,249.8600006103516,331700,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-11 00:00:00-05:00,251.5500030517578,258.7699890136719,247.88999938964844,258.1499938964844,385200,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-12 00:00:00-05:00,258.9200134277344,262.5299987792969,255.9550018310547,258.3900146484375,448800,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-16 00:00:00-05:00,254.8800048828125,266.3399963378906,252.72999572753903,263.0599975585937,441800,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-17 00:00:00-05:00,259.0,260.3999938964844,253.80999755859372,257.2300109863281,191100,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-18 00:00:00-05:00,260.8599853515625,260.8599853515625,252.34500122070312,255.82000732421875,222100,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-19 00:00:00-05:00,256.75,256.75,248.67999267578125,250.30999755859372,230800,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-22 00:00:00-05:00,251.6300048828125,258.1499938964844,248.94000244140625,252.7400054931641,196000,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-23 00:00:00-05:00,254.9499969482422,254.9499969482422,241.8699951171875,252.97000122070312,389500,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-24 00:00:00-05:00,254.7899932861328,255.76499938964844,246.66000366210935,246.69000244140625,153400,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-25 00:00:00-05:00,250.6699981689453,250.75999450683597,246.1199951171875,250.58999633789065,262400,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-26 00:00:00-05:00,251.5200042724609,253.0500030517578,247.8999938964844,252.3699951171875,250900,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-29 00:00:00-05:00,251.08999633789065,255.8800048828125,250.0500030517578,255.72000122070312,183200,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-30 00:00:00-05:00,254.92999267578125,254.92999267578125,248.8300018310547,250.05999755859372,123000,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-01-31 00:00:00-05:00,251.9600067138672,258.4349975585937,251.50999450683597,252.19000244140625,272800,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-01 00:00:00-05:00,253.0,254.5500030517578,247.80499267578125,254.3600006103516,258500,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-02 00:00:00-05:00,253.72000122070312,253.83999633789065,250.9199981689453,252.00999450683597,130200,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-05 00:00:00-05:00,250.8800048828125,255.3699951171875,249.25,255.02999877929688,144500,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-06 00:00:00-05:00,255.97999572753903,260.0150146484375,254.2100067138672,258.6000061035156,280600,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-07 00:00:00-05:00,259.489990234375,265.864990234375,257.9599914550781,265.0599975585937,224700,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-08 00:00:00-05:00,262.6099853515625,272.5299987792969,262.45001220703125,272.3399963378906,333200,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-09 00:00:00-05:00,272.8699951171875,273.2799987792969,267.4100036621094,273.0400085449219,231300,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-12 00:00:00-05:00,272.2900085449219,272.9200134277344,267.70001220703125,270.010009765625,153000,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-13 00:00:00-05:00,262.42999267578125,270.57000732421875,261.4100036621094,264.75,192300,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-14 00:00:00-05:00,267.3800048828125,268.5599975585937,261.7749938964844,268.3099975585937,178400,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-15 00:00:00-05:00,270.239990234375,274.9800109863281,270.1499938964844,273.1499938964844,237700,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-16 00:00:00-05:00,270.7699890136719,277.3399963378906,269.25,270.5599975585937,225600,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-20 00:00:00-05:00,266.95001220703125,268.79998779296875,263.57501220703125,268.6099853515625,247000,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-21 00:00:00-05:00,266.0899963378906,267.3299865722656,254.91000366210935,258.29998779296875,485600,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-22 00:00:00-05:00,256.94000244140625,263.6600036621094,256.5599975585937,262.67999267578125,475600,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-23 00:00:00-05:00,239.2400054931641,250.7449951171875,234.50999450683597,238.3699951171875,1318300,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
2024-02-26 00:00:00-05:00,237.6999969482422,241.82000732421875,229.2700042724609,231.25999450683597,570300,0.0,0.0,568301.0,520780.0,310.0,184.8,249.0178,261.6119,10976686080.0,Medical Devices,Healthcare,NYQ,PEN
