Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2024-01-02 00:00:00-05:00,170.22000122070312,171.0,163.38999938964844,165.85000610351562,68100,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-03 00:00:00-05:00,164.92999267578125,164.92999267578125,158.00999450683594,160.47999572753906,64300,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-04 00:00:00-05:00,161.5500030517578,164.3300018310547,159.6999969482422,162.67999267578125,53300,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-05 00:00:00-05:00,161.17999267578125,163.0800018310547,159.19000244140625,159.3699951171875,57600,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-08 00:00:00-05:00,159.97000122070312,163.77999877929688,159.3000030517578,162.5500030517578,55900,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-09 00:00:00-05:00,160.19000244140625,164.47000122070312,158.02999877929688,163.4600067138672,39400,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-10 00:00:00-05:00,163.05999755859375,175.1199951171875,163.05999755859375,175.0399932861328,82800,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-11 00:00:00-05:00,175.50999450683594,178.77000427246094,171.8800048828125,174.67999267578125,77100,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-12 00:00:00-05:00,174.44000244140625,176.10000610351562,166.8300018310547,167.2100067138672,42100,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-16 00:00:00-05:00,165.27000427246094,170.9499969482422,162.5800018310547,167.6300048828125,50500,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-17 00:00:00-05:00,164.8000030517578,167.3300018310547,161.57000732421875,162.13999938964844,92900,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
2024-01-18 00:00:00-05:00,164.35000610351562,164.91000366210938,159.88999938964844,160.6999969482422,72700,0.0,0.0,77311.0,94370.0,366.41,178.26,228.448,239.0769,1598440064.0,Medical Devices,Healthcare,NCM,UFPT
