Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2024-01-02 00:00:00-05:00,101.1999969482422,102.68000030517578,100.95999908447266,101.36000061035156,92300,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-03 00:00:00-05:00,101.55999755859376,102.4800033569336,99.81999969482422,99.91999816894533,142400,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-04 00:00:00-05:00,100.75,101.31999969482422,100.2300033569336,100.80999755859376,89200,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-05 00:00:00-05:00,100.22000122070312,100.77999877929688,98.97000122070312,99.41999816894533,171800,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-08 00:00:00-05:00,99.5199966430664,101.3499984741211,99.3000030517578,101.2699966430664,93800,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-09 00:00:00-05:00,100.93000030517578,103.13999938964844,100.26000213623048,102.63999938964844,155900,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-10 00:00:00-05:00,103.18000030517578,103.4499969482422,102.38999938964844,103.16999816894533,94900,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-11 00:00:00-05:00,103.30999755859376,103.45999908447266,102.16000366210938,103.11000061035156,107800,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-12 00:00:00-05:00,104.18000030517578,104.23999786376952,102.5500030517578,104.0999984741211,91700,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-16 00:00:00-05:00,103.4499969482422,104.56999969482422,103.0999984741211,103.83999633789062,96900,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-17 00:00:00-05:00,103.58999633789062,105.12000274658205,103.41000366210938,103.95999908447266,73200,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-18 00:00:00-05:00,103.83000183105467,105.1500015258789,102.91999816894533,105.1500015258789,82900,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-19 00:00:00-05:00,105.87999725341795,105.87999725341795,104.6500015258789,104.9800033569336,71700,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-22 00:00:00-05:00,105.22000122070312,106.20999908447266,104.44000244140624,105.9000015258789,127600,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-23 00:00:00-05:00,105.70999908447266,106.83000183105467,103.87000274658205,103.87000274658205,76000,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-24 00:00:00-05:00,104.66999816894533,105.6500015258789,104.11000061035156,105.05999755859376,63600,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-25 00:00:00-05:00,105.61000061035156,105.62999725341795,103.31999969482422,103.93000030517578,73700,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-26 00:00:00-05:00,104.73999786376952,107.31999969482422,104.63999938964844,104.68000030517578,84100,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-29 00:00:00-05:00,103.9000015258789,105.73999786376952,103.58000183105467,105.73999786376952,66400,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-30 00:00:00-05:00,105.86000061035156,106.1500015258789,104.77999877929688,106.08999633789062,61900,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-01-31 00:00:00-05:00,106.27999877929688,106.44000244140624,103.52999877929688,103.52999877929688,89000,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-02-01 00:00:00-05:00,103.22000122070312,105.4499969482422,103.22000122070312,105.25,68500,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-02-02 00:00:00-05:00,104.80999755859376,104.80999755859376,102.91999816894533,103.0999984741211,66300,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-02-05 00:00:00-05:00,102.33000183105467,102.51000213623048,100.88999938964844,101.54000091552734,102500,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
2024-02-06 00:00:00-05:00,101.54000091552734,102.7699966430664,101.38999938964844,101.9499969482422,64500,0.0,0.0,209525.0,253020.0,155.0,102.58,134.3604,134.9165,2444945920.0,Consulting Services,Industrials,NMS,HURN
