Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2024-01-02 00:00:00-05:00,38.68999862670898,39.20000076293945,38.2599983215332,38.34000015258789,2130200,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-03 00:00:00-05:00,37.43999862670898,37.77000045776367,36.29999923706055,36.41999816894531,2376400,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-04 00:00:00-05:00,36.68000030517578,37.25,36.560001373291016,36.810001373291016,1919400,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-05 00:00:00-05:00,36.59000015258789,38.15999984741211,36.470001220703125,37.95000076293945,2550200,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-08 00:00:00-05:00,36.09000015258789,38.09999847412109,35.58000183105469,37.869998931884766,8180800,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-09 00:00:00-05:00,38.25,38.61000061035156,37.31999969482422,37.369998931884766,4444900,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-10 00:00:00-05:00,37.09999847412109,37.27000045776367,36.7400016784668,37.060001373291016,2913000,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-11 00:00:00-05:00,36.9900016784668,37.25,36.40999984741211,36.9900016784668,2211100,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-12 00:00:00-05:00,36.040000915527344,36.2400016784668,34.400001525878906,35.16999816894531,4432000,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-16 00:00:00-05:00,34.79999923706055,34.849998474121094,33.77000045776367,34.41999816894531,4061300,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-17 00:00:00-05:00,33.959999084472656,34.349998474121094,33.2400016784668,33.61000061035156,2471800,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-18 00:00:00-05:00,33.7400016784668,34.970001220703125,33.5,34.959999084472656,2855400,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-19 00:00:00-05:00,34.970001220703125,35.0,34.18000030517578,34.84000015258789,1861800,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-22 00:00:00-05:00,35.27000045776367,35.54999923706055,34.779998779296875,34.83000183105469,2065400,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-23 00:00:00-05:00,35.97999954223633,36.65999984741211,35.630001068115234,35.83000183105469,2775200,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
2024-01-24 00:00:00-05:00,36.25,36.38999938964844,35.599998474121094,35.81999969482422,2685700,0.0,0.0,2815715.0,2414160.0,78.08,37.84,54.7386,56.81685,7281826816.0,Airlines,Industrials,NYQ,ALK
