# Financial Data Collection Configuration,,
# ===========================================,,
# This file controls which data sources and processing steps are enabled,,
# Set TRUE/FALSE for each option below,,
,,
# TICKER DATA SOURCES,,
# -------------------,,
WEB_tickers_down,FALSE,Download ticker names from web sources (NASDAQ SP500 etc)
TW_tickers_down,TRUE,Use ticker names from TradingView universe file
TW_universe_file,tradingview_universe.csv,File name for TradingView universe data (relative to user_input_path)
,,
# HISTORICAL DATA COLLECTION,,
# ---------------------------,,
YF_hist_data,TRUE,Download historical OHLCV data via YFinance
YF_daily_data,FALSE,Download daily (1d) historical data
YF_weekly_data,TRUE,Download weekly (1wk) historical data
YF_monthly_data,FALSE,Download monthly (1mo) historical data
TW_hist_data,FALSE,Update historical OHLCV data from TradingView bulk files
user_input_path,user_input,Directory for user input files (portfolio universe indexes etc)
TW_daily_data,FALSE,Process daily TradingView bulk files
TW_weekly_data,FALSE,Process weekly TradingView bulk files
TW_monthly_data,FALSE,Process monthly TradingView bulk files
TW_intraday_data,FALSE,NOT IMPLEMENTED: Process intraday data from TradingView source
TW_intraday_file,intraday_data.csv,NOT IMPLEMENTED: File name for intraday data input
TW_files_path,data/tw_files,Base directory for TradingView bulk CSV files
,,
,,
# FAST BATCH DOWNLOADER (yf.download — one file per date, all tickers in chunks),
# -------------------------------------------------------------------------------,,
YF_batch_data,FALSE,Enable fast batch downloader
YF_batch_ticker_choice,,Ticker group for batch (0-8 or dash-separated e.g. 1-2) — leave empty to use ticker_choice
YF_batch_daily,FALSE,Batch download daily bars: TRUE / FALSE
YF_batch_weekly,FALSE,Batch download weekly bars: TRUE / FALSE
YF_batch_monthly,FALSE,Batch download monthly bars: TRUE / FALSE
YF_batch_universe,symbols_universe.csv,Universe file in user_input/ (leave empty to use combined_tickers from ticker_choice)
YF_batch_use_failed_file,TRUE,Exclude previously failed tickers: TRUE / FALSE
YF_batch_output_path,data/market_data_batch,Output folder for batch price files
YF_batch_daily_start_date,2026-06-12,Daily start date YYYY-MM-DD — leave empty to use YF_batch_daily_period
YF_batch_daily_end_date,today,Daily end date YYYY-MM-DD or 'today'
YF_batch_daily_period,5d,Used when daily_start_date empty: 1d / 5d / 1mo / 3mo / 6mo / 1y / 2y / 5y / 10y / ytd / max
YF_batch_weekly_start_date,,Weekly start date YYYY-MM-DD — leave empty to use YF_batch_weekly_period
YF_batch_weekly_end_date,today,Weekly end date
YF_batch_weekly_period,1y,Used when weekly_start_date is empty
YF_batch_monthly_start_date,,Monthly start date YYYY-MM-DD — leave empty to use YF_batch_monthly_period
YF_batch_monthly_end_date,today,Monthly end date
YF_batch_monthly_period,5y,Used when monthly_start_date is empty
,,
# FINANCIAL DATA ENRICHMENT,,
# --------------------------,,
fin_data_enrich,FALSE,Enable financial data enrichment
YF_fin_data,FALSE,Download financial data from YFinance
TW_fin_data,FALSE,Download financial data from TradingView
Zacks_fin_data,FALSE,Download financial data from Zacks (future)
,,
# GENERAL SETTINGS,,
# ----------------,,
write_info_file,TRUE,Write detailed info files during processing
ticker_info_TW,TRUE,Get ticker info from TradingView universe file
ticker_info_TW_file,tradingview_universe_bool.csv,File name for TradingView ticker info
ticker_info_YF,FALSE,Download ticker info from YFinance
ticker_choice,5,Ticker combination choice (use single numbers or dash-separated)
,,
# TICKER GROUP CHOICES (ticker_choice values),,
# ==========================================,,
"# Use single numbers or dash-separated combinations (e.g. ""1-2-3"")",,
# 0: TradingView Universe only,tradingview_universe.csv,
# 1: S&P 500 only,sp500_tickers.csv,
# 2: NASDAQ 100 only,nasdaq100_tickers.csv,
# 3: All NASDAQ stocks,nasdaq_all_tickers.csv,
# 4: Russell 1000 (IWM) only,iwm1000_tickers.csv,
# 5: Index tickers only,indexes_tickers.csv,
# 6: Portfolio tickers only,portofolio_tickers.csv,
# 7: ETF tickers only,etf_tickers.csv,
# 8: TEST tickers only,test_tickers.csv,
"# Examples: ""1"" (S&P 500) ""1-2"" (S&P 500 + NASDAQ 100) ""1-2-3"" (all major indexes)",,
